,No,SR,Township,Hospital,HosPt,PUI,Suspected,M,F,Child,Adult,Lab_Neg,Confirmed,Death,Recovered,Pending,DC,Latitude,Longitude,Column19,Column20,Column21,Column22,Column23,Column24,Column25,FID
0,1,Yangon Region,North Okkalapa,Way Bar Gi Specialist Hospital,86,86,0,59,27,0,86,75,9,1,0,2,36,16.920552,96.156532,,,,,,,,1
1,2,Kayah State,Loikaw,Loikaw General Hospital,19,19,0,14,5,0,19,15,0,0,0,4,3,19.67999,97.21988,,,,,,,,2
2,3,Shan (East) State,Kengtung,Kengtung General Hospital,6,6,0,4,2,2,4,5,0,0,0,1,2,21.260127,99.615922,,,,,,,,3
3,4,Nay Pyi Taw,Za Bu Thi Ri,Nay Pyi Taw General Hospital,5,5,0,4,1,0,5,4,1,0,0,0,3,19.742783,96.100826,,,,,,,,4
4,5,Shan (South) State,Taunggyi,Saosanhtun General Hospital,7,7,0,6,1,0,7,7,0,0,0,0,1,20.80435,97.03738,,,,,,,,5
5,6,Yangon Region,Yankin,Yankin Children Specialist Hospital,6,6,0,5,1,6,0,4,0,0,0,2,1,16.83497,96.1595,,,,,,,,6
6,7,Rakhine State,Minbya,Minbya Township Hospital,1,0,1,1,0,0,1,1,0,0,0,0,1,20.35608,93.270246,,,,,,,,7
7,8,Shan (North) State,Namtu,Namtu Township Hospital,1,0,1,1,0,0,1,1,0,0,0,0,1,23.08753,97.39328,,,,,,,,8
8,9,Ayeyarwaddy Region,Labutta,Labutta General Hospital,2,2,0,1,1,0,2,2,0,0,0,0,2,16.147486,94.75621,,,,,,,,9
9,10,Bago Region,Thegon,Pu Tee Kone Station Hospital,1,1,0,0,1,0,1,1,0,0,0,0,1,18.565774,95.456853,,,,,,,,10
10,11,Rakhine State,Ponnagyun,Ponnagyun Township Hospital,2,2,0,1,1,0,2,2,0,0,0,0,1,20.328193,93.001771,,,,,,,,11
11,12,Magway Region,Mgaway,Magway General Hospital,14,14,0,8,6,3,11,11,0,0,0,3,5,20.147171,94.928205,,,,,,,,12
12,13,Magway Region,Pauk,Pauk Township Hospital,3,3,0,1,2,0,3,3,0,0,0,0,1,21.44795,94.478134,,,,,,,,13
13,14,Mandalay Region,Chanayethazan,Mandalay General Hospital,39,39,0,21,18,0,39,35,0,0,0,4,4,21.977446,96.090378,,,,,,,,14
14,15,Rakhine State,Maungdaw,Maungdaw Township Hospital,1,1,0,1,0,0,1,1,0,0,0,0,1,20.820303,92.368092,,,,,,,,15
15,16,Shan (South) State,Mawkmai,Mawkmai Township Hospital,4,4,0,1,3,0,4,4,0,0,0,0,4,20.229186,97.724691,,,,,,,,16
16,17,Shan (East) State,Mongkhet,Mongkhet Township Hospital,1,1,0,1,0,0,1,1,0,0,0,0,1,21.74726,99.45644,,,,,,,,17
17,18,Mandalay Region,Mogoke,Mogoke Township Hospital,1,1,0,0,1,0,1,1,0,0,0,0,1,22.918545,96.497179,,,,,,,,18
18,19,Mandalay Region,Taungtha,Taungtha Township Hospital,2,2,0,1,1,0,2,2,0,0,0,0,1,21.268168,95.449308,,,,,,,,19
19,20,Shan (North) State,Lashio,Lashio General Hospital,14,14,0,6,8,0,14,13,0,0,0,1,5,22.936028,97.747065,,,,,,,,20
20,21,Mandalay Region,Myittha,Myittha Township Hospital,2,2,0,2,0,0,2,2,0,0,0,0,2,21.4225341,96.1291029,,,,,,,,21
21,22,Shan (North) State,Muse,Muse General Hospital,15,15,0,10,5,1,14,13,0,0,0,2,4,23.993365,97.899894,,,,,,,,22
22,23,Rakhine State,Sittwe,Sittwe General Hospital,4,4,0,4,0,0,4,4,0,0,0,0,1,20.137564,92.898732,,,,,,,,23
23,24,Mandalay Region,Chanayethazan,Kandawnadi Hospital,26,26,0,19,7,0,26,25,1,0,0,0,9,21.9456,96.112281,,,,,,,,24
24,25,Kachin State,Waingmaw,Kan Paik Ti Station Hospital,1,1,0,1,0,0,1,1,0,0,0,0,1,25.405053,98.118834,,,,,,,,25
25,26,Yangon Region,Latha,Yangon General Hospital,42,42,0,22,20,0,42,28,2,0,0,12,3,16.779141,96.148983,,,,,,,,26
26,27,Yangon Region,Insein,Insein General Hospital,49,49,0,30,19,0,49,42,1,0,0,6,5,16.89162,96.10544,,,,,,,,27
27,28,Magway Region,Minhla,Lin Kei Station Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,19.687554,94.933723,,,,,,,,28
28,29,Bago Region,Yedashe,Yedashe Township Hospital,2,2,0,2,0,0,2,2,0,0,0,0,1,19.15203,96.34773,,,,,,,,29
29,30,Kayin State,Hpa-An,Hpa-An General Hospital,14,14,0,11,3,1,13,13,0,0,0,1,1,16.882529,97.635994,,,,,,,,30
30,31,Bago Region,Kyauktaga,Kyauktaga Township Hospital,5,5,0,3,2,0,5,5,0,0,0,0,0,18.159827,96.609923,,,,,,,,31
31,32,Magway Region,Pakokku,Pakokku General Hospital,2,2,0,2,0,0,2,2,0,0,0,0,1,21.33498,95.088245,,,,,,,,32
32,33,Shan (South) State,Pindaya,Pindaya Township Hospital,2,2,0,1,1,0,2,2,0,0,0,0,1,20.935481,96.667157,,,,,,,,33
33,34,Magway Region,Kamma,Kyoet Pin Station Hospital,1,1,0,0,1,0,1,1,0,0,0,0,1,19.0306,94.90206,,,,,,,,34
34,35,Mandalay Region,Chanmyathazi,(300) Bedded Teaching Hospital,1,1,0,0,1,0,1,1,0,0,0,0,1,21.94746,96.11128,,,,,,,,35
35,36,Yangon Region,Kayan,Kayan Township Hospital,3,3,0,3,0,0,3,3,0,0,0,0,1,16.903528,96.55861,,,,,,,,36
36,37,Bago Region,Taungoo,Taungoo General Hospital,1,1,0,0,1,0,1,1,0,0,0,0,1,18.937459,96.443386,,,,,,,,37
37,38,Ayeyarwaddy Region,Pathein,Pathein General Hospital,3,3,0,2,1,0,3,3,0,0,0,0,0,16.783314,94.735278,,,,,,,,38
38,39,Yangon Region,North Okkalapa,North Okkalapa Teaching and General Hospital,29,29,0,16,13,0,29,21,0,0,0,8,0,16.900792,96.158063,,,,,,,,39
39,40,Yangon Region,Thingyangyun,Thingyangyun General Hospital,17,17,0,7,10,0,17,14,0,0,0,3,1,16.83438,96.190538,,,,,,,,40
40,41,Sagaing Region,Tigyaing,Tigyaing Township Hospital,2,2,0,1,1,0,2,2,0,0,0,0,0,23.75434,96.150157,,,,,,,,41
41,42,Bago Region,Htantapin,Htantapin Township Hospital,2,2,0,0,2,0,2,2,0,0,0,0,1,18.841751,96.486,,,,,,,,42
42,43,Yangon Region,Dagon Myothit (East),Dagon Myothit (East) Township Hospital,4,4,0,3,1,0,4,3,1,0,0,0,1,16.91783,96.23178,,,,,,,,43
43,44,Rakhine State,Kyaukpyu,Kyaukpyu General Hospital,6,6,0,5,1,0,6,6,0,0,0,0,1,19.431771,93.547029,,,,,,,,44
44,45,Magway Region,Minbu,Minbu General Hospital,1,1,0,1,0,0,1,1,0,0,0,0,1,20.174373,94.875591,,,,,,,,45
45,46,Yangon Region,Hlegu,Hlegu Township Hospital,3,3,0,2,1,0,3,1,0,0,0,2,1,17.0999,96.225193,,,,,,,,46
46,47,Nay Pyi Taw,Pyinmana,Pyinmana General Hospital,3,3,0,2,1,0,3,3,0,0,0,0,0,19.735415,96.199629,,,,,,,,47
47,48,Mandalay Region,Pyinoolwin,Pyinoolwin General Hospital,2,2,0,2,0,0,2,2,0,0,0,0,0,22.022368,96.465662,,,,,,,,48
48,49,Shan (East) State,Tachileik,Tachileik General Hospital,28,28,0,22,6,0,28,22,0,0,0,6,0,20.459836,99.884021,,,,,,,,49
49,50,Bago Region,Bago,Bago General Hospital,5,5,0,4,1,1,4,4,0,0,0,1,0,17.33744,96.48454,,,,,,,,50
50,51,Shan (North) State,Hsipaw,Hsipaw Township Hospital,3,3,0,2,1,0,3,2,0,0,0,1,0,22.614095,97.300527,,,,,,,,51
51,52,Shan (East) State,Mongyawng,Mongyawng Township Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,21.182407,100.361837,,,,,,,,52
52,53,Kayin State,Hpapun,Kamarmaung Station Hospital,1,1,0,1,0,0,1,1,0,0,0,0,1,17.34271,97.65344,,,,,,,,53
53,54,Bago Region,Monyo,Monyo Township Hospital,3,3,0,3,0,0,3,2,0,0,0,1,1,18.02948,95.50652,,,,,,,,54
54,55,Magway Region,Aunglan,Aunglan Township Hospital,3,3,0,2,1,0,3,3,0,0,0,0,1,19.35139,95.21609,,,,,,,,55
55,56,Ayeyarwaddy Region,Dedaye,Dedaye Township Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,16.41156,95.88803,,,,,,,,56
56,57,Mon State,Thanbyuzayat,Thanbyuzayat Township Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,15.960517,97.728952,,,,,,,,57
57,58,Shan (South) State,Kyethi,Mong Nawng Hospital,1,1,0,0,1,0,1,1,0,0,0,0,0,21.643294,98.117856,,,,,,,,58
58,59,Mandalay Region,Pyawbwe,Yan Aung Station Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,20.541172,95.96891,,,,,,,,59
59,60,Chin State,Tedim,Tedim Township Hospital,4,4,0,2,2,0,4,3,1,0,0,0,0,23.368904,93.650808,,,,,,,,60
60,61,Yangon Region,Kyauktan,Kyauktan Township Hospital,4,4,0,2,2,0,4,3,0,0,0,1,0,16.636801,96.326909,,,,,,,,61
61,62,Ayeyarwaddy Region,Pyapon,Pyapon General Hospital,1,1,0,0,1,0,1,1,0,0,0,0,1,16.283537,95.681554,,,,,,,,62
62,63,Kayin State,Hlaingbwe,Myainggyingu Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,17.358643999999998,97.669251,,,,,,,,63
63,64,Mandalay Region,Meiktila,Meiktila General Hospital,4,4,0,2,2,0,4,4,0,0,0,0,0,20.876624,95.844727,,,,,,,,64
64,65,Yangon Region,Lanmadaw,New Yangon General Hospital,3,3,0,2,1,0,3,3,0,0,0,0,0,16.781488,96.145242,,,,,,,,65
65,66,Kachin State,Myitkyina,Myitkyina General Hospital,6,6,0,4,2,0,6,5,0,0,0,1,0,25.394939,97.395323,,,,,,,,66
66,67,Mandalay Region,Chanayethazan,Children Specialist Hospital,1,1,0,0,1,0,1,1,0,0,0,0,0,21.979858,96.105216,,,,,,,,67
67,68,Kayin State,Myawaddy,Myawaddy General Hospital,5,5,0,3,2,0,5,5,0,0,0,0,0,16.685653,98.50555,,,,,,,,68
68,69,Sagaing Region,Kale,Kale General Hospital,8,8,0,3,5,1,7,6,0,0,0,2,0,23.190428,94.063697,,,,,,,,69
69,70,Sagaing Region,Tamu,Tamu General Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,24.218296,94.310364,,,,,,,,70
70,71,Tanintharyi Region,Myeik,Myeik General Hospital,2,2,0,2,0,0,2,1,0,0,0,1,0,12.463061,98.610958,,,,,,,,71
71,72,Nay Pyi Taw,Oke Ta Ra Thi Ri,Children Specialist Hospital,3,3,0,2,1,3,0,3,0,0,0,0,0,19.854063,96.153059,,,,,,,,72
72,73,Nay Pyi Taw,Poke Ba Thi Ri,(300) Bedded Hospital,4,4,0,2,2,0,4,2,0,0,0,2,0,19.902721,96.200128,,,,,,,,73
73,74,Yangon Region,Insein,Aung San Tuberculosis Hospital,1,1,0,0,1,0,1,1,0,0,0,0,0,16.916506,96.097686,,,,,,,,74
74,75,Shan (South) State,Hsihseng,Hsihseng Township Hospital,2,2,0,2,0,0,2,2,0,0,0,0,0,20.167422,97.254339,,,,,,,,75
75,76,Yangon Region,Htantabin,Htantabin Township Hospital,1,1,0,0,1,0,1,1,0,0,0,0,0,17.013647,95.987982,,,,,,,,76
76,77,Mon State,Mawlamyine,Mawlamyine General Hospital,7,7,0,4,3,0,7,5,0,0,0,2,0,16.480681,97.627087,,,,,,,,77
77,78,Bago Region,Kyaukkyi,Mone Station Hospital,2,2,0,2,0,0,2,2,0,0,0,0,0,18.53891,96.632248,,,,,,,,78
78,79,Shan (North) State,Nawnghkio,Nawnghkio Township Hospital,3,3,0,2,1,0,3,3,0,0,0,0,0,22.332404,96.791342,,,,,,,,79
79,80,Bago Region,Phyu,Phyu Township Hospital,4,4,0,2,2,0,4,4,0,0,0,0,0,18.480118,96.431668,,,,,,,,80
