,No,SR,Township,Tested,PUI,M,F,Child,Adult,Confirmed,Death,Recovered,Latitude,Longitude,FID
0,3,Yangon Region,Insein Township,,,9,5,1,13,14,0,0,16.901771,96.095959,3
1,7,Yangon Region,Bahan Township,,,4,6,0,10,10,0,0,16.815427,96.156112,7
2,12,Yangon Region,South Okkalapa Township,,,3,5,0,8,8,0,0,16.846249,96.179859,12
3,13,Yangon Region,Mayangone Township,,,2,3,0,5,5,0,0,16.86619,96.142611,13
4,11,Bago Region,Paukkhaung Township,,,2,2,2,2,4,1,0,18.9028,95.54819,11
5,1,Chin State,Tedim Township,2534.0,1394.0,1,2,0,3,3,0,0,23.37058,93.65619,1
6,19,Yangon Region,Shwepyithar Township,,,1,2,0,3,3,0,0,16.95504,96.08329,19
7,5,Yangon Region,Mingalartaungnyunt Township,,,2,0,0,2,2,1,0,16.788908,96.16785899999999,5
8,14,Yangon Region,Hlaingtharya Township,,,1,1,0,2,2,0,0,16.85402,96.06893,14
9,2,Yangon Region,Botahtaung Township,,,1,0,0,1,1,0,0,16.771967,96.169709,2
10,4,Mandalay Region,Chanmyathazi Township,,,1,0,0,1,1,0,1,21.939404,96.095838,4
11,6,Naypyitaw,Za Bu Thi Ri Township,,,0,1,0,1,1,0,1,19.76867364,96.07260872,6
12,8,Yangon Region,Mingaladon Township,,,1,0,0,1,1,0,0,16.94914,96.12795,8
13,9,Shan (North) State,Kyaukme Township,,,1,0,0,1,1,0,0,22.54172,97.03671,9
14,10,Yangon Region,North Okkalapa Township,,,0,1,0,1,1,1,0,16.918775,96.163028,10
15,15,Mon State,Kyaikmaraw Township,,,0,1,0,1,1,0,0,16.37045,97.72411,15
16,16,Shan (South) State,Taunggyi Township,,,1,0,0,1,1,0,0,20.77477,97.03598,16
17,17,Bago Region,Pyay Township,,,0,1,0,1,1,0,0,18.82151,95.22103,17
18,18,Yangon Region,Hlegu Township,,,1,0,0,1,1,0,0,17.09875,96.22745,18
19,20,Yangon Region,Pabedan Township,,,1,0,0,1,1,1,0,16.776983,96.15601,20
20,21,Mangway Region,Myothit Township,,,1,0,0,1,1,0,0,20.19919,95.44692,21
