Date,Country_Code,No_Of_Confirmed,New_Confirmed,No_Of_Death,New_Death,Total_Recovered,Active_Cases,Serious_Critical,Total_Cases_1M_pop,Death_Cases_1M_pop,Test_1M pop,Proviance_Code,System_Date
28-04-2020,World,3065176.0,2661.0,211631.0,182.0,922862.0,1930683.0,56300.0,,27.2,,All,1588052500957
28-04-2020,Europe,1301361.0,90.0,124008.0,11.0,446506.0,730847.0,24907.0,,,,Europe,1588052500957
28-04-2020,North America,1092087.0,1291.0,61640.0,91.0,169601.0,860846.0,15453.0,,,,North America,1588052500957
28-04-2020,USA,1010507.0,151.0,56803.0,6.0,139162.0,814542.0,14186.0,5696928.0,172.0,17211.0,North America,1588052500957
28-04-2020,Asia,483462.0,236.0,17600.0,12.0,236999.0,228863.0,5979.0,,,,Asia,1588052500957
28-04-2020,Spain,229422.0,,23521.0,,120832.0,85069.0,7764.0,1345560.0,503.0,28779.0,Europe,1588052500957
28-04-2020,Italy,199414.0,,26977.0,,66624.0,105813.0,1956.0,1789662.0,446.0,29600.0,Europe,1588052500957
28-04-2020,France,165842.0,,23293.0,,45513.0,97036.0,4608.0,463662.0,357.0,7103.0,Europe,1588052500957
28-04-2020,Germany,158758.0,,6126.0,,114500.0,38132.0,2409.0,2072669.0,73.0,24738.0,Europe,1588052500957
28-04-2020,UK,157149.0,,21092.0,,N/A,135713.0,1559.0,719910.0,311.0,10605.0,Europe,1588052500957
28-04-2020,South America,145199.0,1025.0,6793.0,63.0,51642.0,86764.0,9773.0,,,,South America,1588052500957
28-04-2020,Turkey,112261.0,,2900.0,,33791.0,75570.0,1736.0,918885.0,34.0,10895.0,Asia,1588052500957
28-04-2020,Iran,91472.0,,5806.0,,70933.0,14733.0,3011.0,432329.0,69.0,5147.0,Asia,1588052500957
28-04-2020,Russia,87147.0,,794.0,,7346.0,79007.0,2300.0,3019434.0,5.0,20690.0,Europe,1588052500957
28-04-2020,China,82836.0,6.0,4633.0,,77555.0,648.0,50.0,,3.0,,Asia,1588052500957
28-04-2020,Brazil,67446.0,945.0,4603.0,60.0,31142.0,31701.0,8318.0,339552.0,22.0,1597.0,South America,1588052500957
28-04-2020,Canada,48500.0,,2707.0,,18268.0,27525.0,557.0,733705.0,72.0,19440.0,North America,1588052500957
28-04-2020,Belgium,46687.0,,7207.0,,10878.0,28602.0,903.0,214042.0,622.0,18468.0,Europe,1588052500957
28-04-2020,Netherlands,38245.0,,4518.0,,N/A,33477.0,905.0,193950.0,264.0,11319.0,Europe,1588052500957
28-04-2020,Africa,34047.0,11.0,1472.0,4.0,10575.0,22000.0,138.0,,,,Africa,1588052500957
28-04-2020,India,29451.0,,939.0,,7137.0,21375.0,,716733.0,0.7,519.0,Asia,1588052500957
28-04-2020,Switzerland,29164.0,,1665.0,,22200.0,5299.0,185.0,245300.0,192.0,28343.0,Europe,1588052500957
28-04-2020,Peru,28699.0,,782.0,,8425.0,19492.0,598.0,239563.0,24.0,7266.0,South America,1588052500957
28-04-2020,Portugal,24027.0,,928.0,,1357.0,21742.0,176.0,360155.0,91.0,35321.0,Europe,1588052500957
28-04-2020,Ecuador,23240.0,,663.0,,1557.0,21020.0,146.0,61529.0,38.0,3487.0,South America,1588052500957
28-04-2020,Ireland,19648.0,,1102.0,,9233.0,9313.0,146.0,127319.0,223.0,25785.0,Europe,1588052500957
28-04-2020,Sweden,18926.0,,2274.0,,1005.0,15647.0,399.0,94500.0,225.0,9357.0,Europe,1588052500957
28-04-2020,Saudi Arabia,18811.0,,144.0,,2531.0,16136.0,117.0,200000.0,4.0,5745.0,Asia,1588052500957
28-04-2020,Israel,15555.0,,204.0,,7200.0,8151.0,129.0,302691.0,24.0,34971.0,Asia,1588052500957
28-04-2020,Mexico,15529.0,852.0,1434.0,83.0,9086.0,5009.0,378.0,71103.0,11.0,551.0,North America,1588052500957
28-04-2020,Austria,15274.0,,549.0,,12362.0,2363.0,140.0,232537.0,61.0,25819.0,Europe,1588052500957
28-04-2020,Singapore,14423.0,,14.0,,1095.0,13314.0,20.0,121774.0,2.0,20815.0,Asia,1588052500957
28-04-2020,Pakistan,14079.0,164.0,301.0,9.0,3233.0,10545.0,111.0,157223.0,1.0,712.0,Asia,1588052500957
28-04-2020,Chile,13813.0,,198.0,,7327.0,6288.0,426.0,161235.0,10.0,8434.0,South America,1588052500957
28-04-2020,Japan,13614.0,,385.0,,1899.0,11330.0,300.0,150692.0,3.0,1191.0,Asia,1588052500957
28-04-2020,Poland,11902.0,,562.0,,2466.0,8874.0,160.0,297859.0,15.0,7870.0,Europe,1588052500957
28-04-2020,Romania,11339.0,,641.0,,3141.0,7557.0,227.0,143834.0,33.0,7477.0,Europe,1588052500957
28-04-2020,Belarus,11289.0,,75.0,,1740.0,9474.0,92.0,153845.0,8.0,16281.0,Europe,1588052500957
28-04-2020,Qatar,11244.0,,10.0,,1066.0,10168.0,72.0,85709.0,3.0,29749.0,Asia,1588052500957
28-04-2020,UAE,10839.0,,82.0,,2090.0,8667.0,1.0,1057326.0,8.0,106904.0,Asia,1588052500957
28-04-2020,S. Korea,10752.0,14.0,244.0,1.0,8854.0,1654.0,55.0,608514.0,5.0,11869.0,Asia,1588052500957
28-04-2020,Indonesia,9096.0,,765.0,,1151.0,7180.0,,75157.0,3.0,275.0,Asia,1588052500957
28-04-2020,Ukraine,9009.0,,220.0,,864.0,7925.0,110.0,93519.0,5.0,2138.0,Europe,1588052500957
28-04-2020,Denmark,8698.0,,427.0,,5959.0,2312.0,72.0,155810.0,74.0,26900.0,Europe,1588052500957
28-04-2020,Oceania,8299.0,8.0,103.0,1.0,6894.0,1302.0,46.0,,,,Australia/Oceania,1588052500957
28-04-2020,Serbia,8275.0,,162.0,,1209.0,6904.0,85.0,67917.0,19.0,7773.0,Europe,1588052500957
28-04-2020,Philippines,7777.0,,511.0,,932.0,6334.0,31.0,89889.0,5.0,820.0,Asia,1588052500957
28-04-2020,Norway,7599.0,,205.0,,32.0,7362.0,52.0,164316.0,38.0,30310.0,Europe,1588052500957
28-04-2020,Czechia,7445.0,,223.0,,2834.0,4388.0,73.0,218474.0,21.0,20401.0,Europe,1588052500957
28-04-2020,Australia,6725.0,5.0,84.0,1.0,5602.0,1039.0,43.0,517063.0,3.0,20277.0,Australia/Oceania,1588052500957
28-04-2020,Dominican Republic,6293.0,,282.0,,993.0,5018.0,144.0,22498.0,26.0,2074.0,North America,1588052500957
28-04-2020,Panama,6021.0,242.0,167.0,2.0,455.0,5399.0,89.0,27834.0,39.0,6451.0,North America,1588052500957
28-04-2020,Bangladesh,5913.0,,152.0,,131.0,5630.0,1.0,50401.0,0.9,306.0,Asia,1588052500957
28-04-2020,Malaysia,5820.0,,99.0,,3957.0,1764.0,37.0,144686.0,3.0,4470.0,Asia,1588052500957
28-04-2020,Colombia,5597.0,,253.0,,1210.0,4134.0,118.0,90899.0,5.0,1786.0,South America,1588052500957
28-04-2020,South Africa,4793.0,,90.0,,1473.0,3230.0,36.0,178470.0,2.0,3009.0,Africa,1588052500957
28-04-2020,Egypt,4782.0,,337.0,,1236.0,3209.0,,90000.0,3.0,879.0,Africa,1588052500957
28-04-2020,Finland,4695.0,,193.0,,2500.0,2002.0,56.0,82437.0,35.0,14878.0,Europe,1588052500957
28-04-2020,Morocco,4120.0,,162.0,,695.0,3263.0,1.0,29254.0,4.0,793.0,Africa,1588052500957
28-04-2020,Argentina,4003.0,,197.0,,1140.0,2666.0,144.0,51900.0,4.0,1148.0,South America,1588052500957
28-04-2020,Luxembourg,3729.0,,88.0,,3123.0,518.0,20.0,39102.0,141.0,62465.0,Europe,1588052500957
28-04-2020,Algeria,3517.0,,432.0,,1558.0,1527.0,40.0,6500.0,10.0,148.0,Africa,1588052500957
28-04-2020,Moldova,3481.0,,102.0,,925.0,2454.0,212.0,11763.0,25.0,2916.0,Europe,1588052500957
28-04-2020,Kuwait,3288.0,,22.0,,1012.0,2254.0,64.0,179000.0,5.0,41915.0,Asia,1588052500957
28-04-2020,Thailand,2938.0,7.0,54.0,2.0,2652.0,232.0,61.0,178083.0,0.8,2551.0,Asia,1588052500957
28-04-2020,Kazakhstan,2860.0,25.0,25.0,,725.0,2110.0,35.0,205560.0,1.0,10948.0,Asia,1588052500957
28-04-2020,Bahrain,2723.0,,8.0,,1218.0,1497.0,2.0,117374.0,5.0,68980.0,Asia,1588052500957
28-04-2020,Hungary,2649.0,66.0,291.0,11.0,516.0,1842.0,61.0,67172.0,30.0,6953.0,Europe,1588052500957
28-04-2020,Greece,2534.0,,136.0,,577.0,1821.0,43.0,66094.0,13.0,6341.0,Europe,1588052500957
28-04-2020,Oman,2049.0,,10.0,,364.0,1675.0,3.0,,2.0,,Asia,1588052500957
28-04-2020,Croatia,2039.0,,59.0,,1166.0,814.0,21.0,32817.0,14.0,7994.0,Europe,1588052500957
28-04-2020,Uzbekistan,1924.0,20.0,8.0,,892.0,1024.0,8.0,242536.0,0.2,7247.0,Asia,1588052500957
28-04-2020,Iraq,1847.0,,88.0,,1286.0,473.0,,73782.0,2.0,1834.0,Asia,1588052500957
28-04-2020,Armenia,1808.0,,29.0,,848.0,931.0,10.0,18547.0,10.0,6259.0,Asia,1588052500957
